Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
174	9	Do5	C5	318	318	1	8	417	95	96	.	6.888889
175	9	Si4b5	B4b5	309	309	1	8	417	95	96	.	6.944445
176	9	La4b5	A4b5	300	300	1	8	417	95	96	.	7
177	53			0	0	0	0	0	0	0		7
178	9	Sol4	G4	296	296	1	16	208	95	96	.	7.027778
179	9	La4b5	A4b5	300	300	1	16	208	95	96	.	7.055555
180	9	Sol4	G4	296	296	1	16	208	95	96	.	7.083333
181	9	La4b5	A4b5	300	300	1	16	208	95	96	.	7.111111
182	9	Sol4	G4	296	296	1	16	208	95	96	.	7.138889
183	9	La4b5	A4b5	300	300	1	16	208	95	96	.	7.166667
184	9	Sol4	G4	296	296	1	16	208	95	96	.	7.194445
185	9	Fa4	F4	287	287	1	16	208	95	96	.	7.222222
186	53			0	0	0	0	0	0	0		7.222222
187	9	Re5	D5	327	327	1	24	139	95	96	.	7.240741
188	9	Mi5b5	E5b5	331	331	1	24	139	95	96	.	7.259259
189	9	Fa5	F5	340	340	1	24	139	95	96	.	7.277778
190	9	Sol5	G5	349	349	1	8	417	95	96	.	7.333333
191	9	Fa5	F5	340	340	1	24	139	95	96	.	7.351852
192	9	Mi5b5	E5b5	331	331	1	24	139	95	96	.	7.37037
193	9	Re5	D5	327	327	1	24	139	95	96	.	7.388889
194	9	Do5	C5	318	318	1	8	417	95	96	.	7.444445
195	53			0	0	0	0	0	0	0		7.444445
196	9	Si4b5	B4b5	309	309	3	16	625	95	96	.	7.527778
197	9	La4b5	A4b5	300	300	1	16	208	95	96	.	7.555555
198	9	Si4b5	B4b5	309	309	1	16	208	95	96	.	7.583333
199	9	La4b5	A4b5	300	300	1	16	208	95	96	.	7.611111
200	9	La4b5	A4b5	300	300	1	16	208	95	96	.	7.638889
201	9	Sol4	G4	296	296	1	16	208	95	96	.	7.666667
202	9	Sol4	G4	296	296	3	8	1250	95	96	.	7.833333
203	53			0	0	0	0	0	0	0		7.833333
204	9	Fa4	F4	287	287	1	8	417	95	96	.	7.888889
205	9	Mi5b2	E5b1	334	335	1	8	417	95	96	.	7.944445
206	9	Fa5	F5	340	340	1	8	417	95	96	.	8
207	53			0	0	0	0	0	0	0		8
208	9	Sol5	G5	349	349	1	2	1667	95	96		8.222222
209	53			0	0	0	0	0	0	0		8.222222
210	9	Es	Es	-1	-1	1	8	417	100	0		8.277778
211	9	Fa5	F5	340	340	1	4	833	95	96	Ehl_	8.388889
212	9	Sol5	G5	349	349	1	8	417	95	96	i 	8.444445
213	9	Sol5	G5	349	349	1	2	1667	95	96	aş	8.666667
214	53			0	0	0	0	0	0	0		8.666667
215	9	Sol5	G5	349	349	3	16	625	99	96	kın 	8.75
216	9	La5	A5	358	358	1	16	208	99	96		8.777778
217	9	Fa5	F5	340	340	3	16	625	99	96		8.861111
218	9	Sol5	G5	349	349	1	16	208	99	96		8.888889
219	9	Mi5b3	E5b4	333	332	1	8	417	99	96		8.944445
220	9	Re5	D5	327	327	1	16	208	99	96		8.972222
221	9	Mi5b3	E5b4	333	332	1	16	208	99	96		9
222	9	Fa5	F5	340	340	1	8	417	99	96		9.055555
223	9	Sol5	G5	349	349	1	16	208	99	96		9.083333
224	9	Fa5	F5	340	340	1	16	208	99	96		9.111111
225	9	Mi5b1	E5b1	335	335	1	16	208	99	96		9.138889
226	9	Re5	D5	327	327	1	16	208	99	96		9.166667
227	9	Do5	C5	318	318	1	8	417	95	96		9.222222
228	53			0	0	0	0	0	0	0		9.222222
229	9	Es	Es	-1	-1	1	8	417	100	0		9.277778
